epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.21805009245872498,0.0010000000474974513,4.345883369445801,0.34577876329421997,1.708134651184082
1,0.25458914041519165,0.0010000000474974513,2.0420897006988525,0.27695736289024353,1.877021312713623
2,0.2637152075767517,0.0010000000474974513,1.9679182767868042,0.2906101942062378,1.7717654705047607
3,0.272144615650177,0.0010000000474974513,2.096592903137207,0.2750069797039032,1.9124606847763062
4,0.29269567131996155,0.00020000000949949026,1.8418312072753906,0.32070213556289673,1.7248778343200684
5,0.3090668320655823,0.00020000000949949026,1.7516995668411255,0.3517692983150482,1.6116430759429932
6,0.31746143102645874,0.00020000000949949026,1.7250189781188965,0.37405961751937866,1.6073806285858154
7,0.3180884122848511,0.00020000000949949026,1.716505527496338,0.3604067862033844,1.6235800981521606
8,0.32756277918815613,0.00020000000949949026,1.701345443725586,0.2116188406944275,1.982607364654541
9,0.3317774832248688,0.00020000000949949026,1.6969361305236816,0.3787963092327118,1.6154547929763794
10,0.3459194004535675,4.0000002627493814e-05,1.6466503143310547,0.3668152689933777,1.6253122091293335
11,0.34466543793678284,4.0000002627493814e-05,1.6467019319534302,0.3597102165222168,1.6226575374603271
